Date,Open,High,Low,Close,Adj Close,Volume
2021-09-28,14787.209961,14817.740234,14539.879883,14546.679688,14546.679688,4954270000
2021-09-29,14614.879883,14676.620117,14493.669922,14512.440430,14512.440430,5246170000
2021-09-30,14582.599609,14632.360352,14444.299805,14448.580078,14448.580078,5910550000
2021-10-01,14494.929688,14606.820313,14324.009766,14566.700195,14566.700195,4688550000
2021-10-04,14493.120117,14499.740234,14181.690430,14255.480469,14255.480469,4539650000
2021-10-05,14312.860352,14508.650391,14299.780273,14433.830078,14433.830078,4143190000
2021-10-06,14289.450195,14509.549805,14259.070313,14501.910156,14501.910156,4443760000
2021-10-07,14631.799805,14755.719727,14615.139648,14654.019531,14654.019531,3936210000
2021-10-08,14694.719727,14699.910156,14569.679688,14579.540039,14579.540039,3557630000
2021-10-11,14540.080078,14665.990234,14482.620117,14486.200195,14486.200195,3522230000
2021-10-12,14539.089844,14552.709961,14441.599609,14465.919922,14465.919922,4037030000
2021-10-13,14537.169922,14589.280273,14471.879883,14571.639648,14571.639648,4032440000
2021-10-14,14717.500000,14827.559570,14699.519531,14823.429688,14823.429688,4240520000
2021-10-15,14891.240234,14904.980469,14847.959961,14897.339844,14897.339844,4473930000
2021-10-18,14839.740234,15026.679688,14833.280273,15021.809570,15021.809570,4142540000
2021-10-19,15073.129883,15137.849609,15049.730469,15129.089844,15129.089844,4443000000
2021-10-20,15160.000000,15178.389648,15071.150391,15121.679688,15121.679688,4086590000
2021-10-21,15104.799805,15222.250000,15094.139648,15215.700195,15215.700195,4880390000
2021-10-22,15158.070313,15193.009766,15021.019531,15090.200195,15090.200195,5719760000
2021-10-25,15142.919922,15259.629883,15070.750000,15226.709961,15226.709961,5677320000
2021-10-26,15317.500000,15384.000000,15198.230469,15235.709961,15235.709961,7035470000
2021-10-27,15276.000000,15364.540039,15235.839844,15235.839844,15235.839844,6083210000
2021-10-28,15304.740234,15452.299805,15290.309570,15448.120117,15448.120117,5660240000
2021-10-29,15323.290039,15504.120117,15323.290039,15498.389648,15498.389648,5310370000
2021-11-01,15541.259766,15598.950195,15470.820313,15595.919922,15595.919922,5239250000
2021-11-02,15583.980469,15656.599609,15569.269531,15649.599609,15649.599609,5118540000
2021-11-03,15658.519531,15821.570313,15616.440430,15811.580078,15811.580078,5274520000
2021-11-04,15849.740234,15966.089844,15827.660156,15940.309570,15940.309570,5252570000
2021-11-05,16003.559570,16053.389648,15900.780273,15971.589844,15971.589844,5534130000
2021-11-08,15995.719727,16038.230469,15961.809570,15982.360352,15982.360352,5620280000
2021-11-09,16024.129883,16035.209961,15836.679688,15886.540039,15886.540039,5531330000
2021-11-10,15753.839844,15867.240234,15543.679688,15622.709961,15622.709961,5336480000
2021-11-11,15752.080078,15768.030273,15695.769531,15704.280273,15704.280273,4520600000
2021-11-12,15752.620117,15874.570313,15705.379883,15860.959961,15860.959961,5412870000
2021-11-15,15894.820313,15918.450195,15778.309570,15853.849609,15853.849609,4978040000
2021-11-16,15840.320313,15989.610352,15825.000000,15973.860352,15973.860352,5441150000
2021-11-17,15973.620117,15998.570313,15909.389648,15921.570313,15921.570313,5024540000
2021-11-18,15973.389648,16010.879883,15848.830078,15993.709961,15993.709961,5361690000
2021-11-19,16042.160156,16121.120117,16017.230469,16057.440430,16057.440430,4849160000
2021-11-22,16120.919922,16212.230469,15851.040039,15854.759766,15854.759766,5531070000
2021-11-23,15809.500000,15895.860352,15601.459961,15775.139648,15775.139648,5412610000
2021-11-24,15677.879883,15848.559570,15591.360352,15845.230469,15845.230469,4178630000
2021-11-26,15664.379883,15731.540039,15456.089844,15491.660156,15491.660156,3502030000
2021-11-29,15719.419922,15833.110352,15644.610352,15782.830078,15782.830078,4800570000
2021-11-30,15716.500000,15828.200195,15451.389648,15537.690430,15537.690430,6609380000
2021-12-01,15752.269531,15816.820313,15243.929688,15254.049805,15254.049805,6266020000
2021-12-02,15181.820313,15444.540039,15150.120117,15381.320313,15381.320313,5390100000
2021-12-03,15428.709961,15470.360352,14931.059570,15085.469727,15085.469727,5859520000
2021-12-06,15117.629883,15281.990234,14931.610352,15225.150391,15225.150391,5095960000
2021-12-07,15510.910156,15720.089844,15507.660156,15686.919922,15686.919922,5091220000
2021-12-08,15690.650391,15792.639648,15618.879883,15786.990234,15786.990234,4600800000
2021-12-09,15720.540039,15796.049805,15511.120117,15517.370117,15517.370117,4484230000
2021-12-10,15629.589844,15677.599609,15477.849609,15630.599609,15630.599609,4395460000
2021-12-13,15621.269531,15637.059570,15408.250000,15413.280273,15413.280273,4549170000
2021-12-14,15215.959961,15317.549805,15097.349609,15237.639648,15237.639648,4802460000
2021-12-15,15230.709961,15575.759766,15055.230469,15565.580078,15565.580078,5318850000
2021-12-16,15629.080078,15633.190430,15119.490234,15180.429688,15180.429688,4890470000
2021-12-17,15036.769531,15288.780273,14960.370117,15169.679688,15169.679688,7616320000
2021-12-20,14933.000000,15007.299805,14860.040039,14980.940430,14980.940430,4576750000
2021-12-21,15140.429688,15349.059570,15015.030273,15341.089844,15341.089844,4546230000
2021-12-22,15319.160156,15525.969727,15303.059570,15521.889648,15521.889648,4080900000
2021-12-23,15544.790039,15697.980469,15528.910156,15653.370117,15653.370117,3918200000
2021-12-27,15696.830078,15871.400391,15696.830078,15871.259766,15871.259766,3730120000
2021-12-28,15895.200195,15901.469727,15757.070313,15781.719727,15781.719727,3623600000
2021-12-29,15794.919922,15821.809570,15679.849609,15766.219727,15766.219727,3694500000
2021-12-30,15758.980469,15868.089844,15729.160156,15741.559570,15741.559570,3732730000
2021-12-31,15722.910156,15777.429688,15643.940430,15644.969727,15644.969727,3379850000
2022-01-03,15732.500000,15832.799805,15644.089844,15832.799805,15832.799805,4412130000
2022-01-04,15852.139648,15852.139648,15512.410156,15622.719727,15622.719727,5109270000
2022-01-05,15547.160156,15586.299805,15095.179688,15100.169922,15100.169922,5011990000
